"id","id_event","id_question","id_user","date","source","likes","selected","moderation","suppressed"
"281","3","1","11","2021-04-09 11:58:28","1","0","1","1","1"
"282","3","2","11","2021-04-09 11:59:14","1","0","0","1","1"
"283","3","3","11","2021-04-09 12:03:49","0","0","0","0","1"
"284","3","4","11","2021-04-09 12:04:29","1","0","1","1","1"
"285","3","5","11","2021-04-09 12:05:36","1","0","1","1","1"
"286","3","19","2","2021-04-09 17:25:24","1","36","0","0","1"
"287","3","23","2","2021-04-09 17:43:33","1","31","0","1","0"
"288","3","24","2","2021-04-09 17:43:47","1","24","0","1","0"
"289","3","31","2","2021-04-10 11:09:33","0","9","0","0","1"
"290","3","11","11","2021-04-09 13:02:54","0","4","0","1","0"
"291","3","17","2","2021-04-09 13:13:36","0","7","0","1","0"
"292","3","13","11","2021-04-09 13:04:36","0","3","0","1","0"
"293","3","21","2","2021-04-09 17:29:30","0","5","0","0","0"
"294","3","20","2","2021-04-09 17:29:22","0","14","0","0","1"
"295","3","22","2","2021-04-09 17:31:27","0","4","0","1","0"
"296","3","26","2","2021-04-09 17:51:25","1","11","0","0","0"
"297","3","27","2","2021-04-09 18:16:39","0","2","0","1","0"
"298","3","28","2","2021-04-09 18:28:42","1","2","0","1","0"
"299","3","30","2","2021-04-10 10:53:05","1","5","0","1","1"
"300","3","101","2","2021-04-10 21:49:21","1","5","0","1","0"
"301","3","34","2","2021-04-10 17:52:08","1","5","0","0","0"
"302","3","35","69","2021-04-10 17:54:32","0","4","0","0","1"
"303","3","36","2","2021-04-10 17:58:06","1","3","0","0","0"
"304","3","37","74","2021-04-10 20:14:20","0","15","0","1","0"
"305","3","39","2","2021-04-10 20:29:29","0","8","0","1","0"
"306","3","40","81","2021-04-10 20:31:35","0","4","0","1","0"
"307","3","41","2","2021-04-10 20:32:07","1","9","0","1","0"
"308","3","42","2","2021-04-10 20:36:04","1","6","0","0","0"
"309","3","43","2","2021-04-10 20:45:01","1","0","0","0","1"
"310","3","44","74","2021-04-10 20:50:44","0","5","0","1","0"
"311","3","45","77","2021-04-10 20:51:25","0","4","0","1","0"
"312","3","46","74","2021-04-10 20:52:57","0","2","0","1","0"
"313","3","46","80","2021-04-10 20:53:10","0","3","0","1","0"
"314","3","47","82","2021-04-10 20:53:14","0","0","0","0","1"
"315","3","48","91","2021-04-10 20:53:15","0","3","0","1","0"
"316","3","49","94","2021-04-10 20:53:28","0","0","0","0","1"
"317","3","50","95","2021-04-10 20:53:32","0","4","0","1","0"
"318","3","51","95","2021-04-10 20:53:46","0","4","0","1","0"
"319","3","52","97","2021-04-10 20:54:09","0","7","0","1","0"
"320","3","53","95","2021-04-10 20:54:10","0","5","0","1","0"
"321","3","54","95","2021-04-10 20:55:26","0","3","0","1","0"
"322","3","55","102","2021-04-10 20:55:59","0","5","0","1","0"
"323","3","56","95","2021-04-10 20:58:02","0","3","0","1","0"
"324","3","57","95","2021-04-10 21:00:40","0","4","0","1","0"
"325","3","58","90","2021-04-10 21:03:49","0","3","0","1","0"
"326","3","59","90","2021-04-10 21:05:38","0","2","0","1","0"
"327","3","60","74","2021-04-10 21:05:54","0","2","0","1","0"
"328","3","61","114","2021-04-10 21:05:54","0","1","0","1","0"
"329","3","61","80","2021-04-10 21:05:58","0","2","0","1","0"
"330","3","62","90","2021-04-10 21:05:59","0","2","0","1","0"
"331","3","61","124","2021-04-10 21:06:00","0","1","0","1","0"
"332","3","61","117","2021-04-10 21:06:00","0","1","0","1","0"
"333","3","63","115","2021-04-10 21:06:02","0","2","0","1","0"
"334","3","64","106","2021-04-10 21:06:03","0","1","0","1","0"
"335","3","60","97","2021-04-10 21:06:03","0","1","0","1","0"
"336","3","60","107","2021-04-10 21:06:07","0","1","0","1","0"
"337","3","65","82","2021-04-10 21:06:08","0","2","0","1","0"
"338","3","65","126","2021-04-10 21:06:09","0","1","0","1","0"
"339","3","63","83","2021-04-10 21:06:12","0","1","0","1","0"
"340","3","60","103","2021-04-10 21:06:14","0","1","0","1","0"
"341","3","61","95","2021-04-10 21:06:18","0","1","0","1","0"
"342","3","66","125","2021-04-10 21:06:29","0","1","0","1","0"
"343","3","60","111","2021-04-10 21:06:29","0","1","0","1","0"
"344","3","67","129","2021-04-10 21:06:36","0","1","0","1","0"
"345","3","60","118","2021-04-10 21:07:31","0","1","0","1","0"
"346","3","60","120","2021-04-10 21:07:47","0","1","0","1","0"
"347","3","68","2","2021-04-10 21:08:58","1","0","0","0","0"
"348","3","69","74","2021-04-10 21:09:37","0","1","0","1","0"
"349","3","70","114","2021-04-10 21:09:39","0","1","0","1","0"
"350","3","69","101","2021-04-10 21:09:44","0","2","0","1","0"
"351","3","71","124","2021-04-10 21:09:44","0","2","0","1","0"
"352","3","72","91","2021-04-10 21:09:45","0","2","0","1","0"
"353","3","73","136","2021-04-10 21:09:45","0","2","0","1","0"
"354","3","73","80","2021-04-10 21:09:45","0","2","0","1","0"
"355","3","73","82","2021-04-10 21:09:48","0","2","0","1","0"
"356","3","70","90","2021-04-10 21:09:50","0","1","0","1","0"
"357","3","69","102","2021-04-10 21:09:51","0","1","0","1","0"
"358","3","69","97","2021-04-10 21:09:52","0","2","0","1","0"
"359","3","70","113","2021-04-10 21:09:56","0","1","0","1","0"
"360","3","70","130","2021-04-10 21:09:57","0","1","0","1","0"
"361","3","74","100","2021-04-10 21:09:59","0","1","0","1","0"
"362","3","71","95","2021-04-10 21:10:02","0","2","0","1","0"
"363","3","69","134","2021-04-10 21:10:05","0","2","0","1","0"
"364","3","73","125","2021-04-10 21:10:11","0","2","0","1","0"
"365","3","69","107","2021-04-10 21:10:12","0","2","0","1","0"
"366","3","77","2","2021-04-10 21:11:19","1","1","0","0","1"
"367","3","76","95","2021-04-10 21:10:58","0","2","1","1","0"
"368","3","78","118","2021-04-10 21:11:20","0","3","0","1","0"
"369","3","69","135","2021-04-10 21:11:26","0","2","0","1","0"
"370","3","79","114","2021-04-10 21:12:00","0","2","0","1","0"
"371","3","80","74","2021-04-10 21:12:05","0","4","0","1","0"
"372","3","79","90","2021-04-10 21:12:06","0","1","0","1","0"
"373","3","79","80","2021-04-10 21:12:16","0","2","0","1","0"
"374","3","79","97","2021-04-10 21:12:17","0","2","0","1","0"
"375","3","72","129","2021-04-10 21:12:23","0","1","0","1","0"
"376","3","81","82","2021-04-10 21:12:23","0","2","0","1","0"
"377","3","79","117","2021-04-10 21:12:26","0","2","0","1","0"
"378","3","79","107","2021-04-10 21:12:31","0","1","0","1","0"
"379","3","79","137","2021-04-10 21:12:47","0","2","0","1","0"
"380","3","79","103","2021-04-10 21:12:48","0","2","0","1","0"
"381","3","82","95","2021-04-10 21:12:51","0","0","0","0","1"
"382","3","83","129","2021-04-10 21:13:01","0","0","0","0","1"
"383","3","85","2","2021-04-10 21:14:21","0","1","0","1","0"
"384","3","86","97","2021-04-10 21:19:17","0","3","0","1","0"
"385","3","87","95","2021-04-10 21:22:49","0","4","0","1","0"
"386","3","88","2","2021-04-10 21:34:15","1","0","0","0","1"
"387","3","89","90","2021-04-10 21:34:49","0","5","0","1","0"
"388","3","90","74","2021-04-10 21:37:11","0","5","0","1","0"
"389","3","91","95","2021-04-10 21:37:47","0","2","0","1","0"
"390","3","92","74","2021-04-10 21:38:17","0","3","0","1","0"
"391","3","93","90","2021-04-10 21:39:54","0","6","0","1","0"
"392","3","96","2","2021-04-10 21:41:06","0","3","0","1","0"
"393","3","97","2","2021-04-10 21:47:53","1","2","0","1","0"
"394","3","98","145","2021-04-10 21:48:06","0","4","0","1","0"
"395","3","46","114","2021-04-10 21:48:26","0","4","0","1","0"
"396","3","49","82","2021-04-10 21:48:28","0","0","0","0","1"
"397","3","46","144","2021-04-10 21:48:31","0","4","0","1","0"
"398","3","46","101","2021-04-10 21:48:31","0","2","0","1","0"
"399","3","46","90","2021-04-10 21:48:33","0","4","0","1","0"
"400","3","99","74","2021-04-10 21:48:34","0","0","0","0","1"
"401","3","100","103","2021-04-10 21:48:59","0","4","0","1","0"
"402","3","102","95","2021-04-10 21:51:18","0","9","0","1","0"
"403","3","103","90","2021-04-10 21:53:16","0","4","0","1","0"
"404","3","104","74","2021-04-10 21:53:49","0","4","0","1","0"
"405","3","105","101","2021-04-10 21:54:13","0","2","0","1","0"
"406","3","106","90","2021-04-10 21:54:51","0","2","0","1","0"
"407","3","117","2","2021-04-10 21:57:44","0","0","0","1","0"
"408","3","108","99","2021-04-10 21:55:34","0","0","0","1","0"
"409","3","109","90","2021-04-10 21:55:45","0","0","0","1","0"
"410","3","110","74","2021-04-10 21:55:54","0","0","0","1","0"
"411","3","111","108","2021-04-10 21:56:03","0","2","0","1","0"
"412","3","112","118","2021-04-10 21:56:04","0","0","0","1","0"
"413","3","113","150","2021-04-10 21:56:23","0","0","0","1","0"
"414","3","114","150","2021-04-10 21:56:34","0","0","0","1","0"
"415","3","115","118","2021-04-10 21:56:36","0","0","0","1","0"
"416","3","116","150","2021-04-10 21:56:54","0","0","0","1","0"
"417","3","118","103","2021-04-10 21:57:45","0","1","0","1","0"
"418","3","119","138","2021-04-10 21:57:49","0","0","0","1","0"
"419","3","122","2","2021-04-10 21:58:45","0","0","0","1","0"
"420","3","121","99","2021-04-10 21:58:08","0","1","0","1","0"
"421","3","123","145","2021-04-10 21:59:00","0","2","0","1","0"
"422","3","124","90","2021-04-10 21:59:21","0","2","0","1","0"
"423","3","125","74","2021-04-10 22:01:50","0","2","0","1","0"
"424","3","128","2","2021-04-10 22:03:00","0","2","0","1","0"
"425","3","127","148","2021-04-10 22:02:36","0","3","0","1","0"
"426","3","131","2","2021-04-10 22:04:43","0","2","0","1","0"
"427","3","130","103","2021-04-10 22:03:50","0","2","0","1","0"
