"id","id_evqust","id_user","likes","suppressed"
"1","286","2","36","0"
"2","287","2","27","0"
"3","288","2","21","0"
"4","290","2","4","0"
"5","292","2","3","0"
"6","293","2","5","0"
"7","294","2","14","0"
"8","289","2","8","0"
"9","295","2","3","0"
"10","296","2","10","0"
"11","291","2","7","0"
"12","299","2","4","0"
"13","301","2","5","0"
"14","302","69","1","0"
"15","302","2","3","0"
"16","303","2","3","0"
"17","304","2","4","0"
"18","304","74","1","0"
"19","304","75","1","0"
"20","304","77","1","0"
"21","304","78","1","0"
"22","305","2","2","0"
"23","305","77","1","0"
"24","305","78","1","0"
"25","306","77","1","0"
"26","307","77","1","0"
"27","306","2","2","0"
"28","305","72","1","0"
"29","304","72","1","0"
"30","308","77","1","0"
"31","308","2","1","0"
"32","307","74","1","0"
"33","307","82","1","0"
"34","307","86","1","0"
"35","313","83","1","0"
"36","308","96","1","0"
"37","312","96","1","0"
"38","315","2","2","0"
"39","308","76","1","0"
"40","311","2","3","0"
"41","315","102","1","0"
"42","313","111","1","0"
"43","310","109","1","0"
"44","312","111","1","0"
"45","317","2","3","0"
"46","304","105","1","0"
"47","305","105","1","0"
"48","313","2","1","0"
"49","307","105","1","0"
"50","311","91","1","0"
"51","319","2","4","0"
"52","320","2","4","0"
"53","320","114","1","0"
"54","319","114","1","0"
"55","310","114","1","0"
"56","318","2","3","0"
"57","308","114","1","0"
"58","321","95","1","0"
"59","305","101","1","0"
"60","307","101","1","0"
"61","322","102","1","0"
"62","308","101","1","0"
"63","318","101","1","0"
"64","310","2","1","0"
"65","319","101","1","0"
"66","317","101","1","0"
"67","299","94","1","0"
"68","304","124","1","0"
"69","323","101","1","0"
"70","322","2","1","0"
"71","304","115","1","0"
"72","322","72","1","0"
"73","323","111","1","0"
"74","324","72","1","0"
"75","324","2","2","0"
"76","321","109","1","0"
"77","324","101","1","0"
"78","304","101","1","0"
"79","304","95","1","0"
"80","325","101","1","0"
"81","322","83","1","0"
